thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.02731208293698728,0.04466599994339049,0.04466599994339049,2.609327832935378,space,2.3682148749940097,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
0,0,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,"[np.float64(-0.12777777777777777), np.float64(-0.25833333333333336)]","[np.float64(-0.4930555555555556), np.float64(-0.275)]","[1, 1]","[0, 0]","[0, 0]","[32.52339629200287, 37.72279720904771]","[None, 'image1']",0,0,0,0,0,0,0,1,2.670862750033848,,,,,,,,,,2.656667292001657,0.04734483303036541,2.670862750033848,2.670862750033848,2.670862750033848,2.670862750033848,2.670862750033848,2.670862750033848,2.670862750033848,images/hotel2_sample1,0,40.37994470796548,"[np.float64(-0.12777777777777777), np.float64(-0.25833333333333336)]","[np.float64(-0.4930555555555556), np.float64(-0.275)]","[1, 1]","[0, 0]","[0, 0]","[32.52339629200287, 37.72279720904771]","[None, 'image1']",40.38019654201344,40.38425133295823,41.55293174996041,41.37833287497051,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
1,1,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.3)],[np.float64(-0.1388888888888889)],[1],[0],[0],[1.654867292032577],['image1'],0,0,0,0,0,1,1,2,41.55293174996041,,,,,,,,,,41.548816542024724,0.16866970795672387,41.55293174996041,41.55293174996041,41.55293174996041,41.55293174996041,41.55293174996041,41.55293174996041,41.55293174996041,images/hotel3_correct,1,43.204054791945964,[np.float64(-0.3)],[np.float64(-0.1388888888888889)],[1],[0],[0],[1.654867292032577],['image1'],43.20422924996819,43.20953724998981,44.64317225001287,44.19339620799292,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
2,2,0,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,[np.float64(0.5680555555555555)],[np.float64(0.10138888888888889)],[1],[0],[0],[2.7371615830343217],['image3'],0,0,0,0,0,2,2,4,44.64317225001287,,,,,,,,,,44.63773520803079,0.4335512089310214,44.64317225001287,44.64317225001287,44.64317225001287,44.64317225001287,44.64317225001287,44.64317225001287,44.64317225001287,images/hotel5_correct,1,47.37551137502305,[np.float64(0.5680555555555555)],[np.float64(0.10138888888888889)],[1],[0],[0],[2.7371615830343217],['image3'],47.375680541968904,47.3788769999519,48.481570667005144,48.36636608291883,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
3,3,0,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,[np.float64(0.6763888888888889)],[np.float64(-0.24583333333333332)],[1],[0],[0],[11.911220083013177],['image5'],0,0,0,0,0,3,3,3,48.481570667005144,,,,,,,,,,48.477342666941695,0.10170704196207225,48.481570667005144,48.481570667005144,48.481570667005144,48.481570667005144,48.481570667005144,48.481570667005144,48.481570667005144,images/hotel4_correct,1,60.389488916960545,[np.float64(0.6763888888888889)],[np.float64(-0.24583333333333332)],[1],[0],[0],[11.911220083013177],['image5'],60.38972700003069,60.409873832948506,,61.4015829579439,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
4,4,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.21388888888888888)],[np.float64(-0.25555555555555554)],[1],[0],[0],[1.3550634159473702],['image4'],0,0,0,0,0,4,4,0,61.516497124917805,,,,,,,,,,61.51158399996348,0.1219114171108231,61.516497124917805,61.516497124917805,61.516497124917805,61.516497124917805,61.516497124917805,61.516497124917805,61.516497124917805,images/hotel1_correct,1,62.86728858295828,[np.float64(0.21388888888888888)],[np.float64(-0.25555555555555554)],[1],[0],[0],[1.3550634159473702],['image4'],62.867438875022344,62.87091037502978,,63.86933458293788,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
5,0,1,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.20972222222222223)],[np.float64(-0.22777777777777777)],[1],[0],[0],[1.4241914580343291],['image1'],0,0,0,0,1,0,5,2,64.01754841697402,,,,,,,,,,64.0128730420256,0.14548425003886223,64.01754841697402,64.01754841697402,64.01754841697402,64.01754841697402,64.01754841697402,64.01754841697402,64.01754841697402,images/hotel3_correct,1,65.43748612492345,[np.float64(-0.20972222222222223)],[np.float64(-0.22777777777777777)],[1],[0],[0],[1.4241914580343291],['image1'],65.43765979201999,65.44283045793418,66.76579904195387,66.42991779197473,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
6,1,1,images/hotel5_query,images/hotel5_sample1,images/hotel5_sample2,images/hotel5_correct,images/hotel5_sample3,images/hotel5_sample4,images/hotel5_correct,[],[],[],[],[],[],[],0,0,0,0,1,1,6,4,66.76579904195387,,,,,,,,,,66.76045212498866,0.3228374590398744,66.76579904195387,66.76579904195387,66.76579904195387,66.76579904195387,66.76579904195387,66.76579904195387,66.76579904195387,images/hotel5_sample2,0,67.90684549999423,[],[],[],[],[],[],[],67.90694070793688,67.91823587496765,,68.91148670797702,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
7,2,1,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.12222222222222222)],[np.float64(-0.2388888888888889)],[1],[0],[0],[1.106432665954344],['image4'],0,0,0,0,1,2,7,0,69.03561308293138,,,,,,,,,,69.03130849997979,0.12441141600720584,69.03561308293138,69.03561308293138,69.03561308293138,69.03561308293138,69.03561308293138,69.03561308293138,69.03561308293138,images/hotel1_correct,1,70.13844412495382,[np.float64(0.12222222222222222)],[np.float64(-0.2388888888888889)],[1],[0],[0],[1.106432665954344],['image4'],70.13859433296602,70.14264837501105,71.20315345795825,71.12949291698169,,001,2025-06-18_11h39.05.121,mock_study,,2025.1.1,2025-06-18 11h40.25.196258 -0400,
8,3,1,images/hotel4_query,images/hotel4_sample1,images/hotel4_sample2,images/hotel4_sample3,images/hotel4_sample4,images/hotel4_correct,images/hotel4_correct,,,,,,,,,,,,1,3,8,3,71.20315345795825,,,,,,,,,,71.19857174996287,0.06002383294980973,71.20315345795825,71.20315345795825,71.20315345795825,71.20315345795825,71.20315345795825,71.20315345795825,71.20315345795825,,,,,,,,,,,,,,,,,,,,,,
