hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,slider.response,slider.rt,slider.history,image3_3.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,0,0,0,[np.float64(0.5138888888888888)],[np.float64(0.19444444444444445)],[1],[0],[0],[0.5478513749549165],"['image3', 'image3']",,,,,,,,0,0,0,1,,,,,,,,,1.884344374993816,,resources/images/hotel2_sample2.jpg,0,[np.float64(0.5138888888888888)],[np.float64(0.19444444444444445)],[1],[0],[0],[0.5478513749549165],"['image3', 'image3']",,,,,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,1,1,0,[np.float64(0.14027777777777778)],[np.float64(0.21805555555555556)],[1],[0],[0],[0.34598412504419684],"['image2', 'image2']",,,,,,,,0,1,1,3,,,,,,,,,3.427958874963224,,resources/images/hotel4_sample2.jpg,0,[np.float64(0.14027777777777778)],[np.float64(0.21805555555555556)],[1],[0],[0],[0.34598412504419684],"['image2', 'image2']",,,,,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,2,2,0,[],[],[],[],[],[],[],,,,,,,,0,2,2,0,,,,,,,,,4.8203917080536485,,resources/images/hotel1_sample3.jpg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,3,3,0,[np.float64(0.6291666666666667)],[np.float64(0.25833333333333336)],[1],[0],[0],[0.4559036249993369],"['image3', 'image3']",,,,,,,,0,3,3,2,,,,,,,,,5.981351832975633,,resources/images/hotel3_sample2.jpeg,0,[np.float64(0.6291666666666667)],[np.float64(0.25833333333333336)],[1],[0],[0],[0.4559036249993369],"['image3', 'image3']",,,,,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,4,4,0,[],[],[],[],[],[],[],,,,,,,,0,4,4,4,,,,,,,,,7.714777208049782,,resources/images/hotel5_sample2.jpg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.9870614999672398,"[(4.0, 0.9870614999672398)]",,,,,,,,,,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,0,0,0,,,,,,,,[np.float64(0.5097222222222222)],[np.float64(-0.029166666666666667)],[1],[0],[0],[0.6349489159183577],"['image5', 'image5']",,,,,0,0,0,1,,,,,10.76040729205124,,resources/images/hotel2_gray4.jpeg,0,,,,,,,,,,,10.76040729205124,[np.float64(0.5097222222222222)],[np.float64(-0.029166666666666667)],[1],[0],[0],[0.6349489159183577],"['image5', 'image5']",,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,1,1,0,,,,,,,,[np.float64(0.225)],[np.float64(0.2625)],[1],[0],[0],[1.2933422910282388],"['image2', 'image2']",,,,,0,1,1,2,,,,,12.457420667051338,,resources/images/hotel3_gray1.jpg,0,,,,,,,,,,,12.457420667051338,[np.float64(0.225)],[np.float64(0.2625)],[1],[0],[0],[1.2933422910282388],"['image2', 'image2']",,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,2,2,0,,,,,,,,[np.float64(0.6736111111111112)],[np.float64(0.08888888888888889)],[1],[0],[0],[0.4339872499695048],"['image5', 'image5']",,,,,0,2,2,3,,,,,14.701985292020254,,resources/images/hotel4_correctGray.jpg,0,,,,,,,,,,,14.701985292020254,[np.float64(0.6736111111111112)],[np.float64(0.08888888888888889)],[1],[0],[0],[0.4339872499695048],"['image5', 'image5']",,001,2025-06-23_09h38.46.560,mock_study,,2025.1.1,2025-06-23 09h38.49.821404 -0400,
