query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGrayscale.thisRepN,trialsGrayscale.thisTrialN,trialsGrayscale.thisN,trialsGrayscale.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,slider.response,slider.rt,buttonAdvance.numClicks,buttonAdvance.timesOn,buttonAdvance.timesOff,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,trialGrayscale.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,trialGrayscale.stopped,trialsGrayscale.mouse_2.x,trialsGrayscale.mouse_2.y,trialsGrayscale.mouse_2.leftButton,trialsGrayscale.mouse_2.midButton,trialsGrayscale.mouse_2.rightButton,trialsGrayscale.mouse_2.time,trialsGrayscale.mouse_2.corr,trialsGrayscale.mouse_2.clicked_name,trialsGrayscale.toggle_button.numClicks,trialsGrayscale.toggle_button.timesOn,trialsGrayscale.toggle_button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021717833005823195,0.03741337510291487,0.03741337510291487,2.202477833023295,space,1.9747752910479903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,0,0,0,[np.float64(-0.006944444444444444)],[np.float64(0.2013888888888889)],[1],[0],[0],[45.50424258294515],[1],['image1'],,,,,,,,,,,,0,0,0,1,,,,,2.3684310000389814,,,,,,,,,2.355159416096285,0.15268604189623147,2.3684310000389814,2.3684310000389814,2.3684310000389814,2.3684310000389814,2.3684310000389814,2.3684310000389814,47.85957366600633,[np.float64(-0.006944444444444444)],[np.float64(0.2013888888888889)],[1],[0],[0],[45.50424258294515],[1],['image1'],47.85977408301551,47.86386979103554,49.00130262505263,48.85077275009826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,1,1,0,[np.float64(0.2916666666666667)],[np.float64(-0.2375)],[1],[0],[0],[0.612191874999553],[1],['image5'],,,,,,,,,,,,0,1,1,4,,,,,49.00130262505263,,,,,,,,,48.997439708095044,0.1377099589444697,49.00130262505263,49.00130262505263,49.00130262505263,49.00130262505263,49.00130262505263,49.00130262505263,49.60988504101988,[np.float64(0.2916666666666667)],[np.float64(-0.2375)],[1],[0],[0],[0.612191874999553],[1],['image5'],49.61014712508768,49.61395412508864,50.73662379104644,50.59951029100921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,2,2,0,[np.float64(0.32083333333333336)],[np.float64(0.1736111111111111)],[1],[0],[0],[0.7777509590378031],[1],['image2'],,,,,,,,,,,,0,2,2,3,,,,,50.73662379104644,,,,,,,,,50.73313720803708,0.12304345902521163,50.73662379104644,50.73662379104644,50.73662379104644,50.73662379104644,50.73662379104644,50.73662379104644,51.51108304108493,[np.float64(0.32083333333333336)],[np.float64(0.1736111111111111)],[1],[0],[0],[0.7777509590378031],[1],['image2'],51.51133112504613,51.51491491601337,52.62692379101645,52.4980536660878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,3,3,0,[np.float64(0.6)],[np.float64(0.20694444444444443)],[1],[0],[0],[0.9426587910857052],[1],['image3'],,,,,,,,,,,,0,3,3,0,,,,,52.62692379101645,,,,,,,,,52.62308362510521,0.11180424992926419,52.62692379101645,52.62692379101645,52.62692379101645,52.62692379101645,52.62692379101645,52.62692379101645,53.56600154109765,[np.float64(0.6)],[np.float64(0.20694444444444443)],[1],[0],[0],[0.9426587910857052],[1],['image3'],53.566298208083026,53.57024641602766,54.76160275004804,54.55405870801769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,4,4,0,[np.float64(0.3638888888888889)],[np.float64(0.2125)],[1],[0],[0],[0.6355751249939203],[1],['image2'],,,,,,,,,,,,0,4,4,2,,,,,54.76160275004804,,,,,,,,,54.75804029102437,0.191801083041355,54.76160275004804,54.76160275004804,54.76160275004804,54.76160275004804,54.76160275004804,54.76160275004804,55.393825916107744,[np.float64(0.3638888888888889)],[np.float64(0.2125)],[1],[0],[0],[0.6355751249939203],[1],['image2'],55.39406408299692,55.39721029100474,56.41868195810821,56.388285125023685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.393629000056535,56.41868195810821,56.41868195810821,56.41868195810821,61.09764150006231,4.0,4.010662834043615,1,[4.678291750024073],[4.678295457968488],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.09774162503891,61.110089333029464,61.110089333029464,62.09459041606169,space,0.9816160829504952,None,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,0,0,0,,,,,,,,,"[np.float64(-0.46944444444444444), np.float64(-0.46944444444444444), np.float64(-0.46944444444444444), np.float64(-0.4583333333333333), np.float64(-0.4583333333333333), np.float64(-0.4583333333333333), np.float64(-0.4583333333333333), np.float64(0.29444444444444445)]","[np.float64(-0.4263888888888889), np.float64(-0.37916666666666665), np.float64(-0.37916666666666665), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(0.18333333333333332)]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.7773511250270531, 1.8001445829868317, 2.2101590000092983, 2.7349953749217093, 3.2006568330107257, 3.5677716250065714, 3.87548883294221, 4.551981042022817]",[1],"[None, None, None, None, None, None, None, 'image2']",8,"[0.7703554999316111, 1.4464977500028908, 1.7930714159738272, 2.203113624942489, 2.7279512910172343, 3.1935740830376744, 3.5608573750359938, 3.8684379999758676]","[0.7703612500336021, 1.4465036659967154, 1.7930761659517884, 2.2031188749242574, 2.8197816249448806, 3.1935797079931945, 3.5608633749652654, 3.868443874991499]",,,,,0,0,0,3,62.34385533304885,,,,,,,,,,,,,,,,,,,,,,,,,,66.88950795808341,66.89173083310015,68.13051570800599,67.87676687503699,,,,,,,,,,,,,,,,,,62.33655983302742,0.24195445806253701,62.34385533304885,62.34385533304885,62.34385533304885,62.34385533304885,62.34385533304885,62.34385533304885,62.34385533304885,66.88916212506592,"[np.float64(-0.46944444444444444), np.float64(-0.46944444444444444), np.float64(-0.46944444444444444), np.float64(-0.4583333333333333), np.float64(-0.4583333333333333), np.float64(-0.4583333333333333), np.float64(-0.4583333333333333), np.float64(0.29444444444444445)]","[np.float64(-0.4263888888888889), np.float64(-0.37916666666666665), np.float64(-0.37916666666666665), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(0.18333333333333332)]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.7773511250270531, 1.8001445829868317, 2.2101590000092983, 2.7349953749217093, 3.2006568330107257, 3.5677716250065714, 3.87548883294221, 4.551981042022817]",[1],"[None, None, None, None, None, None, None, 'image2']",8,"[0.7703554999316111, 1.4464977500028908, 1.7930714159738272, 2.203113624942489, 2.7279512910172343, 3.1935740830376744, 3.5608573750359938, 3.8684379999758676]","[0.7703612500336021, 1.4465036659967154, 1.7930761659517884, 2.2031188749242574, 2.8197816249448806, 3.1935797079931945, 3.5608633749652654, 3.868443874991499]",,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,1,1,0,,,,,,,,,"[np.float64(-0.425), np.float64(0.05555555555555555)]","[np.float64(-0.37777777777777777), np.float64(0.15833333333333333)]","[1, 1]","[0, 0]","[0, 0]","[0.4869717500405386, 1.253417709027417]",[1],"[None, 'image1']",1,[0.4821303749922663],[0.4821362919174135],,,,,0,1,1,1,68.13051570800599,,,,,,,,,,,,,,,,,,,,,,,,,,69.37966029101517,69.3851327910088,70.61787804099731,70.37986850005109,,,,,,,,,,,,,,,,,,68.12544299999718,0.2359728330047801,68.13051570800599,68.13051570800599,68.13051570800599,68.13051570800599,68.13051570800599,68.13051570800599,68.13051570800599,69.37947133299895,"[np.float64(-0.425), np.float64(0.05555555555555555)]","[np.float64(-0.37777777777777777), np.float64(0.15833333333333333)]","[1, 1]","[0, 0]","[0, 0]","[0.4869717500405386, 1.253417709027417]",[1],"[None, 'image1']",1,[0.4821303749922663],[0.4821362919174135],,001,2025-06-17_15h16.35.995,mock_study,,2025.1.1,2025-06-17 15h16.40.142233 -0400,
